,Date_Time,Day_of_Week,Time_Bin,Race,Gender,Body_Size,Age_Group,Age_Range,Age_Group,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets,weather,rainfall_level,temp
0,2015-10-19 20:17:50,Monday,Everning,malay,male,moderate,Young Adults,28.0,Adults,yes,young,big,red,casual,blue,short_sleeve,black,short,clothes,3,10,no,20.0,2.0,9.0,2.91231642,101.6579478,1.0,Overcast,0.0,28.7
1,2015-10-19 21:31:28,Monday,Night,indian,male,thin,Adults,51.0,Adults,no,no_kids,Others,black,casual,black,short_sleeve,yellow,short,clothes,5,9,no,13.0,2.0,16.0,2.949923904,101.637069,1.0,Overcast,0.0,28.7
2,2015-10-19 23:45:38,Monday,Night,foreigner,male,fat,Adults,50.0,Adults,no,no_kids,Others,Others,casual,brown,Others,blue,long,clothes,4,8,no,35.0,5.0,16.0,2.928514231,101.72064,3.0,Overcast,0.0,28.7
3,2015-10-19 23:53:38,Monday,Night,foreigner,female,fat,Adults,45.0,Adults,no,no_kids,big,pink,traditional,blue,Others,black,long,clothes,5,10,no,30.0,3.0,17.0,2.970783341,101.6744587,2.0,Overcast,0.0,28.7
4,2015-10-20 07:23:12,Tuesday,Early Morning,malay,female,moderate,Adults,39.0,Adults,no,no_kids,big,blue,casual,blue,long_sleeve,blue,long,clothes,3,7,no,15.0,1.0,7.0,2.928768234,101.6912621,3.0,Overcast,0.0,27.8
5,2015-10-20 09:06:14,Tuesday,Morning,foreigner,male,moderate,Young Adults,32.0,Adults,no,no_kids,big,yellow,Others,yellow,short_sleeve,black,long,clothes,3,9,yes,15.0,2.0,7.0,2.941112411,101.7132003,1.0,Overcast,0.0,27.8
6,2015-10-20 10:05:17,Tuesday,Morning,malay,female,moderate,Adults,55.0,Adults,yes,young,big,red,Others,brown,long_sleeve,grey,long,clothes,3,8,yes,23.0,1.0,11.0,2.939276297,101.6442602,3.0,Overcast,0.0,27.8
7,2015-10-20 13:47:46,Tuesday,Afternoon,chinese,male,thin,Adults,41.0,Adults,no,no_kids,big,white,Others,black,Others,brown,long,clothes,6,9,no,50.0,3.0,18.0,2.9662059,101.6346878,1.0,Overcast,0.0,27.8
8,2015-10-20 14:39:57,Tuesday,Afternoon,foreigner,male,thin,Adults,36.0,Adults,yes,young,Others,red,Others,grey,Others,white,short,blankets,5,9,yes,20.0,0.0,13.0,2.966805235,101.691886,3.0,Overcast,0.0,27.8
9,2015-10-20 15:26:05,Tuesday,Afternoon,malay,female,fat,Young Adults,32.0,Adults,no,no_kids,big,purple,Others,Others,Others,black,long,clothes,3,7,no,58.0,0.0,10.0,2.971703373,101.6786169,2.0,Overcast,0.0,27.8
10,2015-10-20 15:45:51,Tuesday,Afternoon,chinese,male,thin,Adults,40.0,Adults,yes,toddler,big,red,casual,Others,short_sleeve,white,short,clothes,5,9,yes,54.0,2.0,18.0,2.925992147,101.7259705,2.0,Overcast,0.0,27.8
11,2015-10-20 16:01:30,Tuesday,Afternoon,foreigner,female,fat,Adults,55.0,Adults,no,no_kids,big,purple,casual,purple,long_sleeve,black,long,clothes,3,7,no,58.0,2.0,11.0,2.959500865,101.7081422,2.0,Overcast,0.0,27.8
12,2015-10-20 16:34:06,Tuesday,Afternoon,chinese,male,thin,Adults,46.0,Adults,no,no_kids,big,red,Others,purple,short_sleeve,black,Others,clothes,4,7,no,56.0,1.0,15.0,2.932691012,101.6432777,2.0,Overcast,0.0,27.8
13,2015-10-20 18:34:26,Tuesday,Everning,malay,male,fat,Young Adults,35.0,Adults,no,no_kids,big,blue,formal,white,short_sleeve,brown,Others,clothes,4,7,yes,41.0,1.0,17.0,2.932445148,101.7365378,2.0,Overcast,0.0,27.8
14,2015-10-20 20:21:03,Tuesday,Everning,malay,Others,fat,Adults,51.0,Adults,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60.0,2.0,18.0,2.911034456,101.7459985,2.0,Overcast,0.0,27.8
15,2015-10-20 20:21:03,Tuesday,Everning,foreigner,female,moderate,Adults,46.0,Adults,no,no_kids,Others,Others,formal,grey,long_sleeve,black,long,blankets,3,7,no,53.0,2.0,11.0,2.962275698,101.6918951,1.0,Overcast,0.0,27.8
16,2015-10-20 20:32:37,Tuesday,Everning,foreigner,female,moderate,Adults,51.0,Adults,no,no_kids,big,Others,casual,red,long_sleeve,red,long,clothes,6,8,no,35.0,5.0,21.0,2.932841078,101.6624616,2.0,Overcast,0.0,27.8
17,2015-10-20 20:44:46,Tuesday,Everning,indian,male,fat,Adults,39.0,Adults,no,no_kids,big,Others,casual,red,short_sleeve,black,short,clothes,5,7,no,50.0,5.0,14.0,2.938229596,101.7328228,1.0,Overcast,0.0,27.8
18,2015-10-20 20:48:32,Tuesday,Everning,malay,Others,fat,Young Adults,28.0,Adults,no,no_kids,big,blue,casual,blue,long_sleeve,brown,long,clothes,3,9,yes,39.0,2.0,11.0,2.922380929,101.687864,1.0,Overcast,0.0,27.8
19,2015-10-20 21:39:30,Tuesday,Night,indian,male,moderate,Adults,49.0,Adults,no,no_kids,big,red,casual,Others,short_sleeve,Others,short,clothes,4,8,no,31.0,3.0,14.0,2.919551168,101.668476,3.0,Overcast,0.0,27.8
20,2015-10-20 21:05:59,Tuesday,Night,foreigner,female,fat,Adults,39.0,Adults,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24.0,1.0,16.0,2.943119223,101.7154266,2.0,Overcast,0.0,27.8
21,2015-10-20 22:04:52,Tuesday,Night,indian,female,fat,Adults,42.0,Adults,no,no_kids,Others,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55.0,4.0,15.0,2.91001756,101.6719134,3.0,Overcast,0.0,27.8
22,2015-10-20 22:04:52,Tuesday,Night,foreigner,male,moderate,Adults,54.0,Adults,no,no_kids,big,white,casual,white,Others,black,long,clothes,3,9,no,20.0,4.0,16.0,2.965581773,101.6384887,3.0,Overcast,0.0,27.8
23,2015-10-20 22:18:01,Tuesday,Night,malay,Others,thin,Adults,53.0,Adults,yes,young,big,white,formal,brown,long_sleeve,blue,long,clothes,6,8,no,43.0,4.0,16.0,2.968579156,101.6453175,3.0,Overcast,0.0,27.8
24,2015-10-20 22:24:54,Tuesday,Night,indian,male,fat,Adults,43.0,Adults,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36.0,0.0,11.0,2.903208575,101.6367534,3.0,Overcast,0.0,27.8
25,2015-10-20 22:24:54,Tuesday,Night,indian,female,fat,Young Adults,29.0,Adults,yes,young,small,white,Others,brown,short_sleeve,blue,long,clothes,5,8,no,56.0,4.0,21.0,2.918987501,101.6855577,1.0,Overcast,0.0,27.8
26,2015-10-20 22:37:12,Tuesday,Night,malay,female,thin,Adults,50.0,Adults,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44.0,0.0,14.0,2.920738346,101.7324981,1.0,Overcast,0.0,27.8
27,2015-10-20 00:04:56,Tuesday,Early Morning,malay,female,moderate,Adults,45.0,Adults,no,no_kids,big,pink,formal,red,long_sleeve,black,long,blankets,3,7,no,26.0,2.0,16.0,2.919387484,101.6704071,2.0,Overcast,0.0,27.8
28,2015-10-21 07:35:52,Wednesday,Early Morning,indian,Others,fat,Adults,44.0,Adults,no,no_kids,small,blue,casual,blue,Others,white,short,clothes,4,8,no,17.0,3.0,10.0,2.910196243,101.6711649,1.0,Overcast,0.0,28.5
29,2015-10-21 07:58:48,Wednesday,Early Morning,chinese,Others,moderate,Adults,54.0,Adults,no,no_kids,big,Others,Others,blue,short_sleeve,Others,long,clothes,3,7,no,53.0,0.0,14.0,2.965247798,101.6639004,3.0,Overcast,0.0,28.5
30,2015-10-21 11:21:04,Wednesday,Morning,chinese,Others,thin,Adults,43.0,Adults,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11.0,3.0,18.0,2.929160659,101.7405425,2.0,Overcast,0.0,28.5
31,2015-10-21 12:32:17,Wednesday,Morning,malay,female,thin,Young Adults,31.0,Adults,no,no_kids,big,red,casual,blue,long_sleeve,black,long,clothes,5,10,no,27.0,1.0,7.0,2.92845186,101.6737553,2.0,Overcast,0.0,28.5
32,2015-10-21 13:04:37,Wednesday,Afternoon,malay,female,thin,Adults,39.0,Adults,no,no_kids,big,red,casual,white,long_sleeve,black,long,clothes,6,10,no,60.0,2.0,21.0,2.936189794,101.7247492,1.0,Overcast,0.0,28.5
33,2015-10-21 13:04:37,Wednesday,Afternoon,malay,male,moderate,Adults,39.0,Adults,no,no_kids,small,white,casual,green,short_sleeve,blue,long,clothes,5,7,no,54.0,4.0,21.0,2.960194395,101.7175065,2.0,Overcast,0.0,28.5
34,2015-10-21 14:18:47,Wednesday,Afternoon,chinese,female,fat,Adults,45.0,Adults,no,no_kids,big,blue,casual,grey,long_sleeve,white,long,clothes,3,10,yes,50.0,5.0,7.0,2.923278148,101.6872035,2.0,Overcast,0.0,28.5
35,2015-10-21 14:30:07,Wednesday,Afternoon,malay,Others,Others,Adults,38.0,Adults,yes,toddler,big,white,casual,grey,Others,black,long,clothes,3,7,no,12.0,1.0,7.0,2.916170107,101.650825,1.0,Overcast,0.0,28.5
36,2015-10-21 14:32:50,Wednesday,Afternoon,malay,female,moderate,Adults,48.0,Adults,yes,young,big,blue,traditional,green,long_sleeve,white,long,clothes,5,9,yes,35.0,1.0,13.0,2.933630644,101.7161121,1.0,Overcast,0.0,28.5
37,2015-10-21 14:51:37,Wednesday,Afternoon,chinese,female,thin,Adults,39.0,Adults,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45.0,1.0,19.0,2.939977736,101.7336849,1.0,Overcast,0.0,28.5
38,2015-10-21 19:35:17,Wednesday,Everning,malay,female,fat,Adults,40.0,Adults,no,no_kids,big,Others,Others,brown,long_sleeve,brown,long,clothes,6,8,no,15.0,0.0,17.0,2.970403509,101.6312264,1.0,Overcast,0.0,28.5
39,2015-10-21 21:13:41,Wednesday,Night,indian,male,thin,Young Adults,35.0,Adults,no,no_kids,big,white,formal,white,long_sleeve,black,long,clothes,3,7,no,46.0,5.0,14.0,2.916636583,101.6540031,2.0,Overcast,0.0,28.5
40,2015-10-22 07:31:47,Thursday,Early Morning,malay,female,moderate,Adults,49.0,Adults,no,no_kids,big,yellow,traditional,white,long_sleeve,white,long,clothes,4,8,no,46.0,3.0,14.0,2.926865293,101.6613881,1.0,Overcast,0.0,28.6
41,2015-10-22 09:19:35,Thursday,Morning,malay,female,Others,Adults,55.0,Adults,no,no_kids,big,blue,formal,grey,long_sleeve,black,long,clothes,4,8,no,58.0,1.0,9.0,2.96568898,101.6499519,3.0,Overcast,0.0,28.6
42,2015-10-22 10:08:57,Thursday,Morning,malay,male,moderate,Adults,55.0,Adults,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37.0,5.0,21.0,2.935513585,101.629123,3.0,Overcast,0.0,28.6
43,2015-10-22 10:50:38,Thursday,Morning,malay,male,thin,Adults,46.0,Adults,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21.0,1.0,15.0,2.905601006,101.7392814,1.0,Overcast,0.0,28.6
44,2015-10-22 13:17:51,Thursday,Afternoon,malay,male,fat,Adults,41.0,Adults,no,no_kids,big,Others,casual,green,short_sleeve,black,long,clothes,3,10,no,29.0,5.0,15.0,2.93177387,101.6399451,1.0,Overcast,0.0,28.6
45,2015-10-22 14:38:23,Thursday,Afternoon,foreigner,male,moderate,Adults,55.0,Adults,no,no_kids,small,Others,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,37.0,3.0,10.0,2.949095496,101.6319816,3.0,Overcast,0.0,28.6
46,2015-10-22 15:10:04,Thursday,Afternoon,malay,female,moderate,Young Adults,34.0,Adults,no,no_kids,small,Others,casual,red,Others,purple,long,clothes,4,7,no,20.0,2.0,15.0,2.937062467,101.7095382,3.0,Overcast,0.0,28.6
47,2015-10-22 15:42:25,Thursday,Afternoon,malay,female,fat,Adults,40.0,Adults,no,no_kids,big,blue,casual,green,long_sleeve,black,long,clothes,6,10,no,30.0,0.0,7.0,2.960587491,101.6462615,2.0,Overcast,0.0,28.6
48,2015-10-22 19:48:07,Thursday,Everning,chinese,male,thin,Adults,50.0,Adults,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19.0,0.0,13.0,2.942284986,101.6978443,2.0,Overcast,0.0,28.6
49,2015-10-22 20:23:30,Thursday,Everning,foreigner,male,moderate,Adults,54.0,Adults,no,no_kids,big,blue,casual,black,Others,black,long,clothes,3,7,no,23.0,4.0,16.0,2.909529395,101.6997223,1.0,Overcast,0.0,28.6
50,2015-10-22 20:49:14,Thursday,Everning,chinese,male,thin,Adults,39.0,Adults,no,no_kids,big,black,casual,black,short_sleeve,blue,long,clothes,5,8,no,46.0,4.0,9.0,2.929831259,101.7314182,3.0,Overcast,0.0,28.6
51,2015-10-22 22:10:13,Thursday,Night,foreigner,male,moderate,Young Adults,32.0,Adults,no,no_kids,big,Others,Others,green,Others,brown,short,clothes,3,9,no,50.0,3.0,9.0,2.925045336,101.6968892,3.0,Overcast,0.0,28.6
52,2015-10-22 22:52:01,Thursday,Night,foreigner,female,thin,Young Adults,32.0,Adults,no,no_kids,big,blue,casual,Others,short_sleeve,brown,short,clothes,3,9,no,59.0,4.0,7.0,2.932982259,101.7324483,1.0,Overcast,0.0,28.6
53,2015-10-22 23:18:33,Thursday,Night,indian,male,fat,Adults,47.0,Adults,no,no_kids,big,Others,casual,blue,short_sleeve,black,short,clothes,6,7,no,15.0,2.0,17.0,2.920905791,101.6378199,1.0,Overcast,0.0,28.6
54,2015-10-23 01:09:08,Friday,Early Morning,chinese,female,fat,Young Adults,30.0,Adults,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22.0,5.0,20.0,2.955510695,101.6774643,2.0,"Rain, Partially cloudy",6.188,29.1
55,2015-10-23 04:35:37,Friday,Early Morning,indian,male,moderate,Adults,39.0,Adults,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,52.0,1.0,18.0,2.92958325,101.7446153,3.0,"Rain, Partially cloudy",6.188,29.1
56,2015-10-23 07:07:53,Friday,Early Morning,foreigner,female,fat,Adults,52.0,Adults,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,15.0,0.0,19.0,2.950801571,101.6475723,3.0,"Rain, Partially cloudy",6.188,29.1
57,2015-10-23 10:27:02,Friday,Morning,chinese,male,thin,Adults,39.0,Adults,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,44.0,2.0,15.0,2.940545969,101.6313899,1.0,"Rain, Partially cloudy",6.188,29.1
